gene,eds1,rgt1,lys14
YMR042W,0.6560076405,0.900517461,0.1463104924
YML099C,0.47164260140000003,0.4788230566,0.4455469236
YDR173C,0.1096638936,0.5536481754,0.8039073505
YDR376W,0.15963036319999999,0.5166156975,0.4804204137
YGL157W,5.439134923e-4,0,0.7104406316
YNL020C,0.4316314855,0.4380756576,0.4083327713
YBR164C,0.5434131951,0.5516678417,0.5131004624
YPL051W,0.2924833463,0.2957030615,0.2810218897
YHL040C,0.3188528495,0.6922935259,0.2806095488
YHL047C,0.7053475571,0.1324032848,0.6702665125
YDR127W,0.5088370774,0.5166156975,0.4804204137
YDR380W,0.4942117251,0.8183279683,0.7767010145
YGL148W,0.7453723222,0.409699777,0.7104406316
YDR035W,0.5755552774,0.5841782136,0.1857044738
YBR249C,0.3305758786,0.7986410553,0.4824740041
YPR060C,0.2921610769,0.6682359796,0.6245185456
YGL202W,0.9363844246,0.5387805337,0
YDR421W,0.5434131951,0.5516678417,0.5131004624
YHR137W,0.726090038,0.3834739473,0.6910057923
YHR129C,0.3422899948,0.06860959179,0.3262435271
YDR106W,0.6054346718,0.246875035,0.5724234027
YDL029W,0.388590433,0.3941424874,0.3686208547
YJR065C,0.02703351644,0.4788230566,0.4455469236
YJL081C,0.5434131951,0.1920064157,0.5131004624
YNL059C,0.3422899948,0.3467744713,0.3262435271
YLR085C,0.4316314855,0.4380756576,0.4083327713
YPR034W,0.6590313242,0.6682359796,0.6245185456
