gene,eds1,rgt1,lys14
YPR145W,0.8502961474,0.9492317507,0.931440645
YGR124W,0.8378753961,0.8951538693,0.9721703039
YDR321W,0.4217957961,0.06761628143,0.3343823652
YLR155C,0.1812692469,0.1812692469,0.1812692469
YLR157C,0.1812692469,0.1812692469,0.1812692469
YLR158C,0.1812692469,0.1812692469,0.1812692469
YLR160C,0.1812692469,0.1812692469,0.1812692469
YPR093C,0.5414626968,0.4347131894,0.4201967703
YBL069W,0.472258199,0.29694577,0.6423353921
YER101C,0.8384916069,0.7097990696,0.6884471144
YDR184C,0.7431921818,0.6097017524,0.5893988544
YGL017W,0.4850939927,0.3912439327,0.3787695642
YOR377W,0.3110417306,0.547367742,0.5286273871
YGR177C,0.8719178751,0.7497639362,0.7286139071
YGL180W,0.4610141658,0.8139403931,0.4686707994
YLL042C,0.4217957961,0.3444319901,0.3343823652
YPR049C,0.1433143662,0.3912439327,0.3787695642
YBR217W,0.6363629717,0.5125613615,0.4949475981
YPR185W,0.183934911,0.1122611296,0.4201967703
YBR128C,0.3110417306,0.547367742,0.5286273871
YCR068W,0.5187221501,0.8395634928,0.8206278472
YMR159C,0.4850939927,0.3912439327,0.08303083119
YLR423C,3.228798895e-4,0.03135452319,0.2358669062
YFR021W,0.3110417306,0.547367742,0.174105034
YOL082W,0.6937285927,0.9544658174,0.9445081235
YNL242W,0.1300768262,0.579688714,0.1988188174
YDL113C,0.1433143662,0.08909538426,0.01263714701
YPL100W,0.6363629717,0.5125613615,0.4949475981
YCL038C,0.3068559769,0.7305213579,0.3500559529
YLR431C,0.2446932826,0.6874832849,0.6661865182
YLR189C,0.5440298004,0.7097990696,0.6884471144
YJL178C,0.6086983983,0.4030992672,0.7286139071
YPL166W,0.04054456952,0.2397321013,0.2358669062
YNR007C,0.2708987927,0.2397321013,0.2358669062
YDR022C,0.6466527857,0.6454979126,0.3404673697
YIL146C,0.4850939927,0.3912439327,0.3787695642
YLR356W,0.8360268965,0.9954193239,0.3894665346
YOL083W,0.2708987927,0.2397321013,0.2358669062
YJL185C,0.0445502669,0.4347131894,0.1041654578
YLR211C,0.4850939927,0.3912439327,0.3787695642
YLR312C,0.107068787,0.3574368591,0.3217931514
YNL223W,0.3068559769,0.7305213579,0.7092232466
YOR152C,0.07598838105,0.5326609296,0.8724940277
YPL250C,0.2746444976,0.8980328993,0.01553515043
YPL149W,0.3382293806,0.7497639362,0.04351701209
YHR171W,0.0776206928,0.29694577,0.6423353921
YBL078C,0.4217957961,0.06761628143,0.3343823652
YDL149W,0.3507162538,0.2940203166,0.0457511164
YPR026W,0.7713059029,0.6375716589,0.6167800922
YMR301C,0.6761716897,0.547367742,0.174105034
YNR002C,0.06258929565,0.6375716589,0.2492161422
YDR384C,0.006563840178,0.07809890193,0.2977339059
YBL099W,0.2374469322,0.9340507599,0.252398177
YLR393W,0.1567847533,0.6097017524,0.5893988544
YNL315C,0.3507162538,0.2940203166,0.2868236806
YJL180C,0.04054456952,0.2397321013,0.2358669062
YLR295C,0.8150982127,0.8715364711,0.3031228437
YPL271W,0.6921923865,0.477521828,0.7793665762
YDL004W,0.6761716897,0.547367742,0.5286273871
YDR377W,0.472258199,0.29694577,0.6423353921
YML081C-A,0.1529505645,0.4030992672,0.7286139071
YOL077W-A,0.6761716897,0.1885773421,0.5286273871
YJR121W,0.3507162538,0.2940203166,0.2868236806
YPR020W,0.3507162538,0.2940203166,0.2868236806
YDR350C,0.183934911,2.371715267e-6,0.4201967703
YNR020C,0.5916605061,0.4750784503,0.4588613729
YMR098C,0.6363629717,0.5125613615,0.4949475981
YBR039W,0.7431921818,0.6097017524,0.5893988544
YPL078C,0.06089733109,0.8395634928,0.8206278472
YDR298C,0.001056376199,0.8616579209,0.2845027145
Q0085,0.1812692469,0.1812692469,0.1812692469
YKL016C,0.08244725486,0.5125613615,0.4949475981
Q0080,0.1812692469,0.1812692469,0.1812692469
YML116W,0.8719178751,0.7497639362,0.3746686978
YAL020C,0.4217957961,0.3444319901,0.3343823652
YNL259C,0.3507162538,0.2940203166,0.2868236806
YOR079C,0.1812692469,0.1812692469,0.1812692469
YFL010W-A,0.2708987927,0.2397321013,0.2358669062
YKL004W,0.5414626968,0.4347131894,0.4201967703
YOR011W,0.4850939927,0.3912439327,0.3787695642
YLR114C,0.7963419089,0.6634514677,0.6423353921
YOL078W,0.4850939927,0.3912439327,0.3787695642
YMR068W,0.1124643163,0.7097990696,0.32511844559999997
